epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05556,2.36533,5.38049,2.33733,0.00067,0.2,0.01002,0.00307,3.22556,6.1775,2.72066,2e-05,2e-05,2e-05
2,146.502,1.97531,4.70458,1.94341,0.00067,0.2,0.00069,0.00028,3.34325,6.52458,2.84527,5.9802e-05,5.9802e-05,5.9802e-05
3,147.401,1.96142,4.7562,1.98133,0.00067,0.2,0.00064,0.00032,3.48651,6.20735,2.81624,9.934e-05,9.934e-05,9.934e-05
4,148.424,1.28699,4.34641,1.37683,0.00133,0.4,0.00212,0.0006,3.16626,5.22153,2.53492,0.000138614,0.000138614,0.000138614
5,149.427,1.26403,3.84847,1.25042,0.00333,1,0.02491,0.02332,0.57908,3.42379,0.90503,0.000177624,0.000177624,0.000177624
6,150.45,0.62641,3.28912,0.82914,0.00333,1,0.21635,0.17134,0.72558,3.19325,0.81042,0.00021637,0.00021637,0.00021637
7,151.483,0.61637,3.12838,0.91722,0.00333,1,0.995,0.85054,0.66524,2.957,0.83749,0.000254852,0.000254852,0.000254852
8,152.533,0.63173,2.6708,0.77551,0.00333,1,0.96167,0.89837,0.46402,2.88142,0.76957,0.00029307,0.00029307,0.00029307
9,153.536,0.53953,2.37131,0.86094,0.00333,1,0.96167,0.89837,0.46305,2.87185,0.76803,0.000331024,0.000331024,0.000331024
10,154.561,0.7008,2.18625,0.85771,0.00333,1,0.995,0.8955,0.49027,2.82923,0.743,0.000368714,0.000368714,0.000368714
11,155.573,0.68938,2.04299,0.85197,0.00333,1,0.995,0.90203,0.47907,2.75481,0.74446,0.00040614,0.00040614,0.00040614
12,156.576,0.76308,1.88618,0.84315,0.00333,1,0.995,0.86453,0.48468,2.6667,0.75739,0.000443302,0.000443302,0.000443302
13,157.517,0.52549,1.6291,0.76557,0.48117,1,0.995,0.85963,0.54915,2.59592,0.77511,0.0004802,0.0004802,0.0004802
14,158.465,0.5866,1.57794,0.83475,1,0.94902,0.995,0.86453,0.63376,2.5645,0.79362,0.000516834,0.000516834,0.000516834
15,159.422,0.49034,1.54927,0.86245,0.95015,1,0.995,0.81674,0.66564,2.53383,0.81462,0.000553204,0.000553204,0.000553204
16,160.363,0.7143,1.38784,0.90856,1,0.78651,0.995,0.85216,0.62604,2.6036,0.80738,0.00058931,0.00058931,0.00058931
17,161.332,0.49706,2.63056,0.90486,1,0.62773,0.995,0.83437,0.64009,2.65014,0.7984,0.000625152,0.000625152,0.000625152
18,162.304,0.59194,1.45551,0.94654,0.0527,1,0.96167,0.80571,0.59814,2.70133,0.77678,0.00066073,0.00066073,0.00066073
19,163.252,0.56979,1.21018,0.74621,0.00333,1,0.76484,0.67696,0.59644,2.7958,0.7947,0.000696044,0.000696044,0.000696044
20,164.235,0.55722,1.28368,0.85837,0.00333,1,0.35782,0.31827,0.641,2.92281,0.81627,0.000731094,0.000731094,0.000731094
21,165.179,0.40749,1.47266,0.80352,0.00333,1,0.21405,0.18808,0.66151,2.97865,0.80839,0.00076588,0.00076588,0.00076588
22,166.123,0.51534,1.08623,0.77482,0.01768,1,0.695,0.58952,0.6299,2.89458,0.77442,0.000800402,0.000800402,0.000800402
23,167.059,0.5663,1.62837,0.89627,0.05528,1,0.995,0.84067,0.57563,2.83143,0.7828,0.00083466,0.00083466,0.00083466
