epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5224,1.32345,1.91634,1.10293,0.53096,0.65967,0.61164,0.41099,1.29541,2.28677,1.02258,0.000656085,0.000656085,0.000656085
2,163.665,1.24349,0.91517,1.05594,0.92169,0.90226,0.96134,0.66213,1.30952,0.75757,1.10502,0.00131839,0.00131839,0.00131839
3,172.522,1.23369,0.85125,1.04924,0.89957,0.9209,0.95349,0.6539,1.28683,0.78414,1.08966,0.00197629,0.00197629,0.00197629
4,180.996,1.22158,0.79517,1.04978,0.899,0.93873,0.95642,0.66383,1.25857,0.7205,1.06328,0.0019802,0.0019802,0.0019802
5,189.671,1.19991,0.77431,1.04272,0.91105,0.92139,0.95734,0.65959,1.26421,0.68786,1.05932,0.0019736,0.0019736,0.0019736
6,197.991,1.19685,0.73697,1.043,0.9032,0.92944,0.96147,0.67962,1.21962,0.66766,1.06192,0.001967,0.001967,0.001967
7,206.649,1.16661,0.74306,1.04124,0.90296,0.93138,0.9617,0.66897,1.25042,0.69382,1.06361,0.0019604,0.0019604,0.0019604
8,214.865,1.18721,0.73056,1.04097,0.91681,0.93636,0.96914,0.68476,1.23187,0.61981,1.04921,0.0019538,0.0019538,0.0019538
9,223.592,1.16587,0.70302,1.02944,0.90869,0.9281,0.96334,0.67499,1.26037,0.66291,1.07242,0.0019472,0.0019472,0.0019472
10,231.852,1.15065,0.68817,1.03352,0.92774,0.92785,0.97121,0.69585,1.20726,0.59016,1.04182,0.0019406,0.0019406,0.0019406
11,240.636,1.18246,0.67799,1.03323,0.92483,0.93408,0.97214,0.67443,1.33432,0.60587,1.09809,0.001934,0.001934,0.001934
12,248.939,1.15846,0.6715,1.02253,0.92088,0.93408,0.97202,0.68584,1.21571,0.6052,1.04976,0.0019274,0.0019274,0.0019274
13,257.634,1.16129,0.66986,1.02814,0.91837,0.92773,0.96823,0.67932,1.28218,0.59757,1.08144,0.0019208,0.0019208,0.0019208
14,265.938,1.14263,0.65531,1.02956,0.91378,0.9375,0.97135,0.68855,1.21099,0.59564,1.04858,0.0019142,0.0019142,0.0019142
15,274.625,1.15279,0.65063,1.02198,0.90769,0.94238,0.97269,0.67397,1.30347,0.61262,1.08824,0.0019076,0.0019076,0.0019076
16,282.897,1.13468,0.64164,1.02651,0.92375,0.93311,0.97069,0.69223,1.20415,0.56558,1.03956,0.001901,0.001901,0.001901
17,291.466,1.13602,0.63461,1.02288,0.91314,0.94451,0.96881,0.70319,1.13593,0.54565,1.02036,0.0018944,0.0018944,0.0018944
18,299.912,1.14955,0.64363,1.0244,0.91742,0.92773,0.97091,0.68928,1.25054,0.57279,1.0591,0.0018878,0.0018878,0.0018878
19,308.607,1.11293,0.61877,1.01081,0.92787,0.93589,0.97472,0.70278,1.17407,0.55179,1.0279,0.0018812,0.0018812,0.0018812
20,317.077,1.13476,0.62372,1.01689,0.92489,0.93701,0.97305,0.69216,1.24514,0.55099,1.06066,0.0018746,0.0018746,0.0018746
21,325.563,1.13735,0.63177,1.02571,0.92359,0.93457,0.97216,0.70198,1.20111,0.54498,1.04101,0.001868,0.001868,0.001868
22,333.975,1.14751,0.64668,1.02087,0.90474,0.94605,0.971,0.70215,1.18249,0.55929,1.03507,0.0018614,0.0018614,0.0018614
23,342.423,1.13454,0.63274,1.02324,0.92344,0.9292,0.97489,0.70768,1.13427,0.54269,1.01583,0.0018548,0.0018548,0.0018548
24,350.88,1.1235,0.62385,1.01809,0.91397,0.93408,0.96998,0.70249,1.16162,0.53369,1.02812,0.0018482,0.0018482,0.0018482
25,359.381,1.13979,0.6224,1.02504,0.91177,0.94355,0.97275,0.70876,1.14065,0.53943,1.01744,0.0018416,0.0018416,0.0018416
26,367.874,1.1315,0.62133,1.01875,0.91929,0.93985,0.97433,0.70408,1.16305,0.54968,1.03596,0.001835,0.001835,0.001835
27,376.391,1.11417,0.60712,1.01259,0.91048,0.94971,0.97437,0.70563,1.18854,0.54931,1.03372,0.0018284,0.0018284,0.0018284
28,384.798,1.11634,0.61377,1.01621,0.92041,0.94294,0.97635,0.70723,1.20964,0.53341,1.03577,0.0018218,0.0018218,0.0018218
29,393.322,1.11837,0.61473,1.01806,0.91205,0.93678,0.97069,0.68151,1.22583,0.55002,1.05332,0.0018152,0.0018152,0.0018152
30,401.752,1.12157,0.60622,1.0127,0.91839,0.93407,0.9746,0.70527,1.19491,0.52562,1.03394,0.0018086,0.0018086,0.0018086
31,410.268,1.10778,0.59927,1.01261,0.90706,0.94531,0.97683,0.70797,1.18825,0.52736,1.03079,0.001802,0.001802,0.001802
32,418.839,1.11057,0.60272,1.0065,0.91775,0.93896,0.97311,0.70871,1.1679,0.53155,1.0234,0.0017954,0.0017954,0.0017954
33,427.207,1.14047,0.61877,1.02004,0.92464,0.92856,0.9712,0.7066,1.18492,0.52313,1.03947,0.0017888,0.0017888,0.0017888
34,435.632,1.12202,0.6031,1.01725,0.92576,0.92549,0.97381,0.69983,1.21016,0.55338,1.04649,0.0017822,0.0017822,0.0017822
35,443.953,1.11429,0.59881,1.01477,0.91291,0.94177,0.97072,0.70491,1.15684,0.5184,1.02747,0.0017756,0.0017756,0.0017756
36,452.45,1.13309,0.60567,1.0164,0.90793,0.9458,0.97394,0.7068,1.16219,0.53582,1.02707,0.001769,0.001769,0.001769
37,460.815,1.11524,0.60299,1.00782,0.93072,0.93701,0.97527,0.70537,1.20742,0.52721,1.05041,0.0017624,0.0017624,0.0017624
38,469.475,1.09919,0.59386,1.00876,0.91954,0.94141,0.97659,0.71225,1.22325,0.53126,1.0497,0.0017558,0.0017558,0.0017558
39,477.742,1.07694,0.58416,0.99561,0.92404,0.94043,0.97462,0.71724,1.13013,0.5296,1.01562,0.0017492,0.0017492,0.0017492
40,486.402,1.10167,0.59562,1.01506,0.92973,0.92379,0.97396,0.70998,1.22347,0.53931,1.05262,0.0017426,0.0017426,0.0017426
41,494.648,1.10826,0.58816,1.01445,0.91262,0.94858,0.97419,0.71752,1.13514,0.50726,1.01548,0.001736,0.001736,0.001736
42,503.39,1.10376,0.59616,1.01017,0.91257,0.94792,0.97466,0.71661,1.11779,0.50805,1.00729,0.0017294,0.0017294,0.0017294
43,511.688,1.12095,0.59441,1.00891,0.91748,0.94531,0.97568,0.71941,1.12176,0.51994,1.01249,0.0017228,0.0017228,0.0017228
44,520.358,1.09707,0.57317,1.01043,0.91924,0.94824,0.97603,0.72203,1.13798,0.51751,1.01179,0.0017162,0.0017162,0.0017162
45,528.685,1.10866,0.58322,1.01412,0.92076,0.94751,0.97261,0.70004,1.24877,0.54008,1.05766,0.0017096,0.0017096,0.0017096
46,537.261,1.09197,0.59167,1.01028,0.92394,0.94305,0.97512,0.72451,1.14464,0.50921,1.01376,0.001703,0.001703,0.001703
47,545.526,1.09836,0.58711,1.00895,0.92103,0.94727,0.97503,0.71617,1.14273,0.50601,1.02194,0.0016964,0.0016964,0.0016964
48,554.12,1.09816,0.58451,1.00752,0.91796,0.92822,0.97097,0.70998,1.13014,0.52232,1.01496,0.0016898,0.0016898,0.0016898
49,562.555,1.11407,0.59421,1.00788,0.92362,0.93884,0.9774,0.71029,1.15751,0.52167,1.02557,0.0016832,0.0016832,0.0016832
50,571.167,1.09963,0.57335,1.00751,0.92812,0.93945,0.97628,0.72077,1.13547,0.50106,1.01275,0.0016766,0.0016766,0.0016766
51,579.441,1.09147,0.56428,0.99483,0.92849,0.93506,0.97448,0.72243,1.15138,0.50349,1.01738,0.00167,0.00167,0.00167
52,588.062,1.07446,0.56868,1.00247,0.91004,0.95336,0.97069,0.7164,1.12106,0.51545,1.00929,0.0016634,0.0016634,0.0016634
53,596.412,1.08508,0.58093,1.00687,0.91822,0.9375,0.97311,0.71605,1.17242,0.52933,1.0296,0.0016568,0.0016568,0.0016568
54,605.01,1.08725,0.57587,1.00606,0.91783,0.95117,0.97572,0.72512,1.16091,0.50841,1.02321,0.0016502,0.0016502,0.0016502
55,613.513,1.09373,0.57685,1.00361,0.92392,0.9375,0.97664,0.7258,1.13002,0.49456,1.01089,0.0016436,0.0016436,0.0016436
